iter	Passed	Remaining
920	17417	1494
921	17429	1474
922	17445	1455
923	17452	1435
924	17474	1416
925	17489	1397
926	17494	1377
927	17544	1361
928	17547	1341
929	17597	1324
930	17895	1326
931	17898	1305
932	17959	1289
933	18287	1292
934	18293	1271
935	18304	1251
936	18326	1232
937	18329	1211
938	18362	1192
939	18374	1172
940	18399	1153
941	18405	1133
942	18408	1112
943	18410	1092
944	18418	1071
945	18440	1052
946	18445	1032
947	18477	1013
948	18506	994
949	18511	974
950	18519	954
951	18523	933
952	18528	913
953	18572	895
954	18593	876
955	18604	856
956	18610	836
957	18614	816
958	18616	795
959	18649	777
960	18694	758
961	18703	738
962	18746	720
963	18903	705
964	18909	685
965	18916	665
966	18922	645
967	18929	625
968	18934	605
969	19010	587
970	19085	570
971	19088	549
972	19114	530
973	19122	510
974	19130	490
975	19132	470
976	19134	450
977	19137	430
978	19142	410
979	19146	390
980	19151	370
981	19156	351
982	19182	331
983	19185	311
984	19199	292
985	19207	272
986	19211	253
987	19216	233
988	19224	213
989	19227	194
990	19263	174
991	19269	155
992	19277	135
993	19288	116
994	19297	96
995	19301	77
996	19305	58
997	19310	38
998	19312	19
999	19317	0
